공고ID,사업명,주관부처,분야,사업설명,주요키워드,공고링크,마감일,키워드리스트,source
R25BK00553449,[가계통테스트]과천주암 C-2BL 공동주택,조달청,조달청 또는 나라장터 자체 공고건,[가계통테스트]과천주암 C-2BL 공동주택,"가계통테스트,과천주암,2BL,공동주택",https://www.data.go.kr/data/15129394/openapi.do#/,2025-02-21 15:00:00,"['가계통테스트', '과천주암', '2BL', '공동주택']",bid_list_converted.csv
R25BK00553514,[테스트]양산사송 A-7BL 아파트 건설공사 7공구,조달청,조달청 또는 나라장터 자체 공고건,[테스트]양산사송 A-7BL 아파트 건설공사 7공구,"테스트,양산사송,7BL,아파트,건설공사,7공구",https://www.data.go.kr/data/15129394/openapi.do#/,2025-02-21 15:00:00,"['테스트', '양산사송', '7BL', '아파트', '건설공사', '7공구']",bid_list_converted.csv
R25BK00553519,[개통테스트공고]부천대장 A-7BL 및 A-8BL 아파트 건설공사 1공구,조달청,조달청 또는 나라장터 자체 공고건,[개통테스트공고]부천대장 A-7BL 및 A-8BL 아파트 건설공사 1공구,"개통테스트공고,부천대장,7BL,8BL,아파트,건설공사,1공구",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['개통테스트공고', '부천대장', '7BL', '8BL', '아파트', '건설공사', '1공구']",bid_list_converted.csv
R25BK00553517,[테스트공고]구리갈매역세권 A-4BL 아파트 건설공사 2공구,조달청,조달청 또는 나라장터 자체 공고건,[테스트공고]구리갈매역세권 A-4BL 아파트 건설공사 2공구,"테스트공고,구리갈매역세권,4BL,아파트,건설공사,2공구",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['테스트공고', '구리갈매역세권', '4BL', '아파트', '건설공사', '2공구']",bid_list_converted.csv
R25BK00553542,익산고등학교 본관 창호 교체공사,전북특별자치도교육청 익산고등학교,조달청 또는 나라장터 자체 공고건,익산고등학교 본관 창호 교체공사,"익산고등학교,본관,창호,교체공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['익산고등학교', '본관', '창호', '교체공사']",bid_list_converted.csv
R25BK00553608,불암고등학교 교사동 방수공사 수의계약 견적공고,서울특별시교육청 불암고등학교,조달청 또는 나라장터 자체 공고건,불암고등학교 교사동 방수공사 수의계약 견적공고,"불암고등학교,교사동,방수공사,수의계약,견적공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['불암고등학교', '교사동', '방수공사', '수의계약', '견적공고']",bid_list_converted.csv
20241224044,송파 창의혁신 단지조성 가로등 및 교통신호등 전기공사,서울주택도시개발공사,조달청 또는 나라장터 자체 공고건,송파 창의혁신 단지조성 가로등 및 교통신호등 전기공사,"송파,창의혁신,단지조성,가로등,교통신호등,전기공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-09 12:00:00,"['송파', '창의혁신', '단지조성', '가로등', '교통신호등', '전기공사']",bid_list_converted.csv
R25BK00553576,양산여자고등학교 본관동 내진보강 건축공사 입찰공고,경상남도교육청 양산여자고등학교,조달청 또는 나라장터 자체 공고건,양산여자고등학교 본관동 내진보강 건축공사 입찰공고,"양산여자고등학교,본관동,내진보강,건축공사,입찰공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-13 10:00:00,"['양산여자고등학교', '본관동', '내진보강', '건축공사', '입찰공고']",bid_list_converted.csv
R25BK00553414,"지방하천 대천(웅곡, 송삼지구) 수해복구공사",경상북도 구미시,조달청 또는 나라장터 자체 공고건,"지방하천 대천(웅곡, 송삼지구) 수해복구공사","지방하천,대천,웅곡,송삼지구,수해복구공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['지방하천', '대천', '웅곡', '송삼지구', '수해복구공사']",bid_list_converted.csv
R25BK00554200,"서울시립대학교 21세기관 509, 510호 강의실 전기공사",서울특별시 서울시립대학교 산학협력단,조달청 또는 나라장터 자체 공고건,"서울시립대학교 21세기관 509, 510호 강의실 전기공사","서울시립대학교,21세기관,509,510호,강의실,전기공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-06 16:09:00,"['서울시립대학교', '21세기관', '509', '510호', '강의실', '전기공사']",bid_list_converted.csv
